iter	Passed	Remaining
0	154	154430
1	156	77854
2	157	52370
3	159	39600
4	160	31927
5	162	26841
6	163	23160
7	164	20400
8	166	18280
9	167	16566
10	168	15159
11	169	13991
12	171	13000
13	172	12145
14	173	11408
15	174	10761
16	176	10193
17	177	9685
18	178	9231
19	180	8837
20	181	8466
21	182	8134
22	184	7824
23	185	7542
24	186	7280
25	187	7040
26	189	6818
27	190	6614
28	191	6421
29	193	6242
30	194	6082
31	196	5929
32	197	5788
33	198	5649
34	200	5516
35	201	5390
36	202	5271
37	203	5158
38	205	5054
39	206	4954
40	207	4857
41	209	4769
42	210	4682
43	211	4599
44	212	4519
45	214	4443
46	215	4371
47	216	4300
48	218	4232
49	219	4167
50	220	4105
51	221	4046
52	223	3992
53	224	3935
54	225	3881
55	227	3829
56	228	3779
57	229	3731
58	231	3684
59	232	3639
60	233	3593
61	234	3551
62	236	3511
63	237	3471
64	238	3432
65	239	3394
66	241	3357
67	241	3314
68	243	3279
69	244	3246
70	245	3213
71	246	3181
72	248	3150
73	249	3120
74	250	3093
75	252	3065
76	253	3036
77	254	3009
78	255	2982
79	257	2956
80	258	2931
81	259	2905
82	260	2882
83	262	2858
84	263	2831
85	264	2808
86	265	2783
87	266	2762
88	267	2742
89	269	2721
90	270	2701
91	271	2681
92	272	2661
93	274	2642
94	275	2623
95	276	2605
96	278	2588
97	279	2571
98	280	2554
99	281	2537
100	283	2522
101	284	2501
102	285	2486
103	286	2472
104	288	2459
105	289	2445
106	291	2431
107	293	2420
108	294	2407
109	296	2394
110	297	2380
111	298	2366
112	299	2353
113	300	2339
114	302	2325
115	303	2310
116	304	2297
117	305	2284
118	307	2273
119	308	2262
120	309	2250
121	311	2239
122	311	2224
123	313	2213
124	314	2204
125	316	2193
126	317	2182
127	318	2169
128	319	2159
129	321	2150
130	322	2141
131	324	2132
132	325	2123
133	327	2114
134	328	2104
135	329	2095
136	331	2085
137	332	2074
138	333	2064
139	334	2057
140	336	2047
141	337	2039
142	338	2029
143	339	2020
144	341	2011
145	342	2002
146	343	1994
147	344	1985
148	346	1977
149	347	1968
150	348	1961
151	350	1953
152	351	1945
153	352	1937
154	353	1929
155	355	1921
156	356	1913
157	357	1905
158	358	1897
159	359	1889
160	361	1881
161	362	1876
162	363	1868
163	365	1861
164	366	1854
165	367	1846
166	368	1839
167	369	1831
168	371	1824
169	372	1817
170	373	1810
171	374	1804
172	376	1799
173	377	1793
174	379	1787
175	380	1781
176	381	1774
177	382	1768
178	384	1763
179	385	1757
180	386	1749
181	387	1743
182	389	1738
183	390	1732
184	391	1726
