iter	Passed	Remaining
0	149	149490
1	150	75053
2	151	50207
3	151	37772
4	152	30317
5	152	25344
6	153	21790
7	154	19131
8	154	17059
9	155	15399
10	156	14042
11	156	12910
12	157	11953
13	158	11136
14	158	10424
15	159	9799
16	159	9248
17	160	8754
18	161	8313
19	161	7916
20	162	7556
21	162	7229
22	163	6931
23	163	6656
24	164	6404
25	164	6172
26	165	5956
27	165	5756
28	166	5569
29	166	5395
30	167	5233
31	167	5080
32	168	4938
33	169	4804
34	169	4676
35	170	4556
36	170	4442
37	171	4335
38	171	4232
39	172	4135
40	172	4043
41	173	3955
42	173	3872
43	174	3792
44	175	3716
45	175	3642
46	176	3572
47	176	3504
48	177	3441
49	177	3379
50	178	3319
51	178	3262
52	179	3206
53	180	3153
54	180	3102
55	181	3053
56	181	3005
57	182	2959
58	182	2914
59	183	2871
60	183	2829
61	184	2789
62	184	2749
63	185	2712
64	185	2675
65	186	2639
66	187	2604
67	187	2570
68	188	2538
69	188	2507
70	189	2476
71	189	2446
72	190	2417
73	190	2388
74	191	2361
75	191	2334
76	192	2307
77	193	2281
78	193	2256
79	194	2231
80	194	2207
81	195	2184
82	195	2159
83	195	2137
84	196	2115
85	197	2094
86	197	2073
87	198	2053
88	198	2033
89	199	2014
90	199	1995
91	200	1976
92	200	1958
93	201	1940
94	201	1923
95	202	1906
96	202	1889
97	203	1873
98	204	1857
99	204	1842
100	205	1826
101	205	1812
102	206	1797
103	206	1782
104	207	1768
105	207	1754
106	208	1740
107	209	1727
108	209	1713
109	210	1702
110	211	1690
111	211	1677
112	212	1665
113	212	1652
114	213	1640
115	213	1628
116	214	1616
117	214	1604
118	215	1593
119	215	1582
120	216	1571
121	216	1560
122	217	1549
123	217	1539
124	218	1529
125	219	1520
126	219	1510
127	220	1500
128	220	1491
129	221	1481
130	222	1472
131	222	1464
132	223	1454
133	223	1446
134	224	1437
135	224	1428
136	225	1420
137	225	1411
138	226	1403
139	227	1394
140	227	1386
141	227	1377
142	228	1369
143	229	1361
144	229	1353
145	230	1346
146	230	1338
147	231	1330
148	231	1323
149	232	1316
150	232	1309
151	233	1303
152	234	1296
153	234	1289
154	235	1282
155	235	1276
156	236	1269
157	236	1262
158	237	1256
159	238	1250
160	238	1242
161	239	1236
162	239	1230
163	240	1223
164	240	1217
165	241	1211
166	241	1205
167	242	1199
168	242	1193
169	243	1187
170	243	1182
171	244	1176
172	244	1170
173	245	1165
174	246	1159
175	246	1154
176	247	1148
177	247	1143
178	248	1139
179	248	1133
180	249	1129
181	250	1124
182	250	1119
183	251	1114
184	251	1109
185	252	1104
186	252	1099
187	253	1094
188	254	1089
189	254	1085
190	255	1080
191	255	1075
192	256	1071
193	256	1066
194	257	1061
195	257	1057
196	258	1052
197	258	1048
198	259	1044
199	259	1039
200	260	1035
201	260	1031
202	261	1026
203	262	1022
204	262	1019
205	263	1015
206	263	1011
207	264	1007
208	265	1003
209	265	999
210	266	995
211	266	991
212	267	987
213	267	983
214	268	979
215	268	976
216	269	972
217	270	968
218	270	965
219	271	961
220	271	957
221	272	954
222	272	950
223	273	947
224	273	943
225	274	939
226	274	936
227	275	932
228	276	929
229	276	926
230	277	922
231	277	919
232	278	916
233	278	913
234	279	910
235	280	907
236	280	904
237	281	900
238	282	898
239	282	894
240	283	891
241	283	888
242	284	885
243	284	882
244	285	879
245	285	876
246	286	872
247	286	869
248	287	866
249	287	863
250	288	861
251	289	858
252	289	855
253	290	852
254	290	849
255	291	846
256	291	843
257	292	840
258	293	838
259	293	835
260	294	833
261	294	830
262	295	828
263	296	825
264	296	822
265	297	819
266	297	816
267	298	814
268	298	811
269	299	808
270	299	806
271	300	803
272	300	800
273	301	798
274	301	795
275	302	793
276	302	790
277	303	788
278	304	785
279	304	783
280	305	780
281	305	778
282	306	775
283	306	773
284	307	771
285	308	769
286	308	766
287	309	764
288	309	762
289	310	759
290	310	757
291	311	754
292	311	752
293	312	750
294	312	747
295	313	745
296	314	743
297	314	741
298	315	738
299	315	736
300	316	734
301	316	732
302	317	729
303	317	727
304	318	725
305	318	723
306	319	720
307	319	718
308	320	716
309	321	714
310	321	713
311	322	711
312	323	709
313	323	707
314	324	705
315	325	703
316	325	701
317	326	699
318	326	697
319	327	695
320	327	693
321	328	691
322	328	689
323	329	687
324	330	685
325	330	683
326	331	681
327	331	679
328	332	677
